50, NormalizedExponential, dirsym_10_10dims
50, ALR, dirsym_10_10dims
50, ProbitProduct, dirsym_10_10dims
50, HypersphericalAngular, dirsym_10_10dims
47, Stickbreaking, dirsym_10_10dims
50, HypersphericalProbit, dirsym_10_10dims
50, StanStickbreaking, dirsym_10_10dims
50, AugmentedILR, dirsym_10_10dims
50, AugmentedSoftmax, dirsym_10_10dims
25, HypersphericalLogit, asymdir_e-1rand1_10dims
25, NormalizedExponential, asymdir_e-1rand1_10dims
25, ALR, asymdir_e-1rand1_10dims
25, ProbitProduct, asymdir_e-1rand1_10dims
25, HypersphericalAngular, asymdir_e-1rand1_10dims
25, Stickbreaking, asymdir_e-1rand1_10dims
25, HypersphericalProbit, asymdir_e-1rand1_10dims
25, StanStickbreaking, asymdir_e-1rand1_10dims
25, AugmentedILR, asymdir_e-1rand1_10dims
25, AugmentedSoftmax, asymdir_e-1rand1_10dims
25, HypersphericalLogit, asymdir_e-1to1_10dims
25, NormalizedExponential, asymdir_e-1to1_10dims
25, ALR, asymdir_e-1to1_10dims
25, ProbitProduct, asymdir_e-1to1_10dims
25, HypersphericalAngular, asymdir_e-1to1_10dims
25, Stickbreaking, asymdir_e-1to1_10dims
25, HypersphericalProbit, asymdir_e-1to1_10dims
25, StanStickbreaking, asymdir_e-1to1_10dims
25, AugmentedILR, asymdir_e-1to1_10dims
25, AugmentedSoftmax, asymdir_e-1to1_10dims
25, HypersphericalLogit, dirsym_1_1000dims
25, NormalizedExponential, dirsym_1_1000dims
25, ALR, dirsym_1_1000dims
1, ProbitProduct, dirsym_1_1000dims
1, HypersphericalAngular, dirsym_1_1000dims
25, Stickbreaking, dirsym_1_1000dims
25, HypersphericalProbit, dirsym_1_1000dims
25, StanStickbreaking, dirsym_1_1000dims
25, AugmentedILR, dirsym_1_1000dims
25, AugmentedSoftmax, dirsym_1_1000dims
25, HypersphericalLogit, dirsym_10_100dims
25, NormalizedExponential, dirsym_10_100dims
25, ALR, dirsym_10_100dims
25, ProbitProduct, dirsym_10_100dims
25, HypersphericalAngular, dirsym_10_100dims
25, Stickbreaking, dirsym_10_100dims
25, HypersphericalProbit, dirsym_10_100dims
25, StanStickbreaking, dirsym_10_100dims
25, AugmentedILR, dirsym_10_100dims
25, AugmentedSoftmax, dirsym_10_100dims
25, HypersphericalLogit, logitnormal_rho5e-1_scalevar_10dims
25, NormalizedExponential, logitnormal_rho5e-1_scalevar_10dims
25, ALR, logitnormal_rho5e-1_scalevar_10dims
25, ProbitProduct, logitnormal_rho5e-1_scalevar_10dims
25, HypersphericalAngular, logitnormal_rho5e-1_scalevar_10dims
25, Stickbreaking, logitnormal_rho5e-1_scalevar_10dims
25, HypersphericalProbit, logitnormal_rho5e-1_scalevar_10dims
25, StanStickbreaking, logitnormal_rho5e-1_scalevar_10dims
25, AugmentedILR, logitnormal_rho5e-1_scalevar_10dims
25, AugmentedSoftmax, logitnormal_rho5e-1_scalevar_10dims
25, HypersphericalLogit, dirsym_e-1_10dims
25, NormalizedExponential, dirsym_e-1_10dims
25, ALR, dirsym_e-1_10dims
25, ProbitProduct, dirsym_e-1_10dims
25, HypersphericalAngular, dirsym_e-1_10dims
25, Stickbreaking, dirsym_e-1_10dims
25, HypersphericalProbit, dirsym_e-1_10dims
25, StanStickbreaking, dirsym_e-1_10dims
25, AugmentedILR, dirsym_e-1_10dims
25, AugmentedSoftmax, dirsym_e-1_10dims
