,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
z[55],0.01,0.01,0.0,0.028,0.0,0.0,492942.0,209902.0,1.0
z[56],0.01,0.01,0.0,0.028,0.0,0.0,502262.0,214081.0,1.0
z[57],0.01,0.01,0.0,0.028,0.0,0.0,505074.0,212756.0,1.0
z[58],0.01,0.01,0.0,0.028,0.0,0.0,492602.0,210833.0,1.0
z[59],0.01,0.01,0.0,0.028,0.0,0.0,490579.0,209922.0,1.0
z[60],0.01,0.01,0.0,0.028,0.0,0.0,498417.0,211735.0,1.0
z[61],0.01,0.01,0.0,0.028,0.0,0.0,489536.0,210678.0,1.0
z[62],0.01,0.01,0.0,0.028,0.0,0.0,491729.0,212107.0,1.0
z[63],0.01,0.01,0.0,0.028,0.0,0.0,487779.0,209498.0,1.0
z[64],0.01,0.01,0.0,0.028,0.0,0.0,499593.0,212474.0,1.0
z[65],0.01,0.01,0.0,0.028,0.0,0.0,503680.0,214710.0,1.0
z[66],0.01,0.01,0.0,0.028,0.0,0.0,485174.0,210646.0,1.0
z[67],0.01,0.01,0.0,0.028,0.0,0.0,503789.0,216726.0,1.0
z[68],0.01,0.01,0.0,0.028,0.0,0.0,509198.0,214847.0,1.0
z[69],0.01,0.01,0.0,0.028,0.0,0.0,490637.0,209473.0,1.0
z[70],0.01,0.01,0.0,0.028,0.0,0.0,488168.0,210460.0,1.0
z[71],0.01,0.01,0.0,0.028,0.0,0.0,497872.0,207431.0,1.0
z[72],0.01,0.01,0.0,0.028,0.0,0.0,500235.0,209532.0,1.0
z[73],0.01,0.01,0.0,0.028,0.0,0.0,496711.0,211885.0,1.0
z[74],0.01,0.01,0.0,0.028,0.0,0.0,500150.0,213111.0,1.0
z[75],0.01,0.01,0.0,0.028,0.0,0.0,501358.0,214007.0,1.0
z[76],0.01,0.01,0.0,0.028,0.0,0.0,495645.0,213613.0,1.0
z[77],0.01,0.01,0.0,0.028,0.0,0.0,495386.0,210313.0,1.0
z[78],0.01,0.01,0.0,0.028,0.0,0.0,497919.0,212809.0,1.0
z[79],0.01,0.01,0.0,0.028,0.0,0.0,506896.0,216328.0,1.0
z[80],0.01,0.01,0.0,0.028,0.0,0.0,496265.0,214419.0,1.0
z[81],0.01,0.01,0.0,0.028,0.0,0.0,507810.0,216854.0,1.0
z[82],0.01,0.01,0.0,0.028,0.0,0.0,499475.0,216253.0,1.0
z[83],0.01,0.01,0.0,0.028,0.0,0.0,493847.0,210226.0,1.0
z[84],0.01,0.01,0.0,0.028,0.0,0.0,496427.0,215095.0,1.0
z[85],0.01,0.01,0.0,0.028,0.0,0.0,504433.0,215532.0,1.0
z[86],0.01,0.01,0.0,0.028,0.0,0.0,502476.0,218707.0,1.0
