'target_keyword', 'transform', 'seed', 'time'
dirsym_e-1_100dims,HypersphericalLogit,1,17.783050298690796
dirsym_1_100dims,HypersphericalAngular,2,11.928403377532959
dirsym_1_10dims,NormalizedExponential,6,5.203860759735107
dirsym_1_100dims,ProbitProduct,9,3.689340829849243
dirsym_e-1_100dims,StanStickbreaking,1,18.831634521484375
dirsym_1_10dims,AugmentedILR,6,5.169646263122559
dirsym_e-1_10dims,HypersphericalLogit,6,5.610850095748901
dirsym_e-1_100dims,AugmentedILR,1,17.869699954986572
dirsym_e-1_10dims,HypersphericalAngular,6,5.398607015609741
dirsym_1_10dims,ProbitProduct,7,5.0698606967926025
dirsym_e-1_10dims,AugmentedSoftmax,6,5.349440097808838
dirsym_1_100dims,AugmentedSoftmax,12,2.855201244354248
dirsym_e-1_10dims,ProbitProduct,8,5.190141677856445
dirsym_1_10dims,Stickbreaking,6,5.194859743118286
dirsym_e-1_10dims,AugmentedILR,6,5.437969207763672
dirsym_1_100dims,HypersphericalProbit,7,4.3520872592926025
dirsym_e-1_10dims,HypersphericalProbit,7,5.101590156555176
dirsym_1_10dims,HypersphericalLogit,7,5.1886818408966064
dirsym_e-1_10dims,Stickbreaking,6,5.445849657058716
dirsym_e-1_100dims,NormalizedExponential,2,12.6045401096344
dirsym_e-1_10dims,NormalizedExponential,6,5.641439199447632
dirsym_e-1_10dims,ALR,7,5.303773880004883
dirsym_1_10dims,StanStickbreaking,8,4.893301963806152
dirsym_1_10dims,ALR,7,4.835928916931152
dirsym_1_10dims,AugmentedSoftmax,7,4.933977127075195
dirsym_1_100dims,ALR,4,7.8108134269714355
dirsym_1_100dims,ProbitProduct,10,3.7398972511291504
dirsym_e-1_100dims,Stickbreaking,1,19.16724705696106
dirsym_e-1_10dims,StanStickbreaking,8,5.150653600692749
dirsym_1_100dims,AugmentedILR,3,9.665663003921509
dirsym_1_10dims,HypersphericalProbit,7,5.027576208114624
dirsym_1_100dims,AugmentedSoftmax,13,2.8490521907806396
dirsym_1_10dims,HypersphericalAngular,7,5.042340278625488
dirsym_1_10dims,NormalizedExponential,7,4.99531888961792
dirsym_1_100dims,NormalizedExponential,3,10.449768543243408
dirsym_1_10dims,AugmentedILR,7,4.8641932010650635
dirsym_e-1_100dims,ALR,2,13.516207218170166
dirsym_e-1_10dims,HypersphericalAngular,7,5.1349170207977295
dirsym_e-1_10dims,HypersphericalLogit,7,5.2602739334106445
dirsym_1_10dims,ProbitProduct,8,4.773867130279541
dirsym_1_100dims,HypersphericalProbit,8,4.413927316665649
dirsym_e-1_10dims,ProbitProduct,9,4.964006185531616
dirsym_1_10dims,Stickbreaking,7,4.979546785354614
dirsym_1_100dims,HypersphericalLogit,3,10.437489748001099
dirsym_e-1_100dims,AugmentedSoftmax,2,13.94800066947937
dirsym_e-1_10dims,AugmentedSoftmax,7,5.242079734802246
dirsym_e-1_10dims,AugmentedILR,7,5.2600157260894775
dirsym_e-1_10dims,HypersphericalProbit,8,4.9979143142700195
dirsym_1_10dims,HypersphericalLogit,8,4.902190208435059
dirsym_1_100dims,AugmentedSoftmax,14,2.821197032928467
